0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 0
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 19
0.170951 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 19
0.072906 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 19
0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 20
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 20
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 20
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 20
0.072906 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 20
0.170951 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 20
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 20
0.170951 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 20
0.072906 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 20
0.000000 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 20
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 20
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 20
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 20
0.072906 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 20
0.170951 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 20
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 20
0.170951 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 20
0.072906 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 20
0.000000 0.072906 0.721928 0.321928  	|	 index -> 0 |	 group -> 21
0.000000 0.321928 0.170951 0.019973  	|	 index -> 1 |	 group -> 21
0.000000 0.170951 0.170951 0.419973  	|	 index -> 2 |	 group -> 21
0.000000 0.170951 0.970951 0.419973  	|	 index -> 0 |	 group -> 21
0.000000 0.721928 0.170951 0.170951  	|	 index -> 1 |	 group -> 21
0.000000 0.170951 0.419973 0.970951  	|	 index -> 2 |	 group -> 21
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 21
0.000000 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 21
0.000000 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 21
0.000000 0.072906 0.721928 0.321928  	|	 index -> 0 |	 group -> 21
0.000000 0.321928 0.170951 0.019973  	|	 index -> 1 |	 group -> 21
0.000000 0.170951 0.170951 0.419973  	|	 index -> 2 |	 group -> 21
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 21
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 21
0.000000 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 21
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 21
0.000000 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 21
0.000000 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 21
0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 22
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 22
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 22
0.970951 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 22
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 22
0.419973 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 22
0.970951 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 22
0.419973 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 22
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 22
0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 22
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 22
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 22
0.970951 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 22
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 22
0.419973 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 22
0.970951 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 22
0.419973 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 22
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 22
0.000000 0.000000 0.721928 0.321928  	|	 index -> 0 |	 group -> 23
0.000000 0.000000 0.170951 0.019973  	|	 index -> 1 |	 group -> 23
0.000000 0.000000 0.170951 0.419973  	|	 index -> 2 |	 group -> 23
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 23
0.072906 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 23
0.170951 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 23
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 23
0.170951 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 23
0.072906 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 23
0.721928 0.000000 0.721928 0.321928  	|	 index -> 0 |	 group -> 23
0.170951 0.000000 0.170951 0.019973  	|	 index -> 1 |	 group -> 23
0.170951 0.000000 0.170951 0.419973  	|	 index -> 2 |	 group -> 23
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 23
0.072906 0.072906 0.170951 0.170951  	|	 index -> 1 |	 group -> 23
0.170951 0.321928 0.419973 0.419973  	|	 index -> 2 |	 group -> 23
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 23
0.170951 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 23
0.072906 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 23
0.000000 0.072906 0.721928 0.721928  	|	 index -> 0 |	 group -> 24
0.000000 0.321928 0.170951 0.170951  	|	 index -> 1 |	 group -> 24
0.000000 0.170951 0.170951 0.170951  	|	 index -> 2 |	 group -> 24
0.000000 0.419973 0.970951 0.970951  	|	 index -> 0 |	 group -> 24
0.000000 0.321928 0.170951 0.170951  	|	 index -> 1 |	 group -> 24
0.000000 0.019973 0.419973 0.419973  	|	 index -> 2 |	 group -> 24
0.000000 0.419973 0.970951 0.970951  	|	 index -> 0 |	 group -> 24
0.000000 0.019973 0.419973 0.419973  	|	 index -> 1 |	 group -> 24
0.000000 0.321928 0.170951 0.170951  	|	 index -> 2 |	 group -> 24
0.000000 0.072906 0.721928 0.721928  	|	 index -> 0 |	 group -> 24
0.000000 0.321928 0.170951 0.170951  	|	 index -> 1 |	 group -> 24
0.000000 0.170951 0.170951 0.170951  	|	 index -> 2 |	 group -> 24
0.000000 0.419973 0.970951 0.970951  	|	 index -> 0 |	 group -> 24
0.000000 0.170951 0.170951 0.170951  	|	 index -> 1 |	 group -> 24
0.000000 0.970951 0.419973 0.419973  	|	 index -> 2 |	 group -> 24
0.000000 0.419973 0.970951 0.970951  	|	 index -> 0 |	 group -> 24
0.000000 0.019973 0.419973 0.419973  	|	 index -> 1 |	 group -> 24
0.000000 0.321928 0.170951 0.170951  	|	 index -> 2 |	 group -> 24
